Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Shadow of the Colossus,2005-10-18,2207,15,306,co1ozz
2,Castlevania: Symphony of the Night,1997-03-20,1128,14,238,co53m8
3,Metal Gear Solid,1998-09-03,375,13,237,co55sj
4,The Witcher 3: Wild Hunt,2015-05-19,1942,12,347,co1wyy
5,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,11,23,co3p2d
6,The Elder Scrolls V: Skyrim,2011-11-10,472,10,392,co1tnw
7,Pokémon HeartGold,2009-09-12,1556,9,510,co1z57
8,Resident Evil 4,2005-01-11,974,8,426,co2wk8
9,Elden Ring,2022-02-25,119133,7,10,co4jni
10,Persona 5 Royal,2019-10-31,114283,6,108,co1nic
11,Minecraft,2011-11-18,121,5,201,co49x5
12,Disco Elysium,2019-10-15,26472,4,185,co1sfj
13,God of War,2018-04-20,19560,3,345,co1tmu
14,Chrono Trigger,1995-03-11,1802,2,519,co3plw
15,Celeste,2018-01-25,26226,1,144,co3byy
